ID,Nama,Ketinggian,Provinsi,Wilayah,Deskripsi,Aktif (Aktif/Tidak Aktif),Level (Pemula/Mahir),Kota/Kab
1,Gunung Patas,1414,Bali,Bali dan  Nusa Tenggara,Gunung Patas memiliki ketinggian 1.414 meter dari permukaan laut yang terletak di Kecamatan Gerokgak. Ada banyak jalur untuk mendaki gunung ini. Jalur pendakian ini biasanya dibuat oleh masyarakat di sekitar Gerokgak dan Sepang. Salah satu jalurnya bisa melalui tempat wisata Bendungan Gerokgak. Jalurnya cukup panjang dengan medan naik turun bukit.,Tidak Aktif,Pemula,Buleleng
2,Gunung Abang,2151,Bali,Bali dan  Nusa Tenggara,"Menurut beberapa sumber mengatakan bahwa gunung Abang terbentuk dari letusan Gunung Batur Purba jaman dahulu. Gunung Abang merupakan gunung tertinggi ke tiga di Pulau Bali. Gunung ini merupakan masih dalam kawasan batur global geopark yang ditetapkan oleh UNESCO pada 20 September 2012. Gunung abang merupakan bukit yang berupa hutan basah dan cemara. Uniknya, dipuncak Gunung Abang terdapat sebuah gapura yang yang terbuat dari susunan batu bata dan di dalam nya terdapat tempat beribadah untuk umat Hindu. Dari Puncak ini juga kita bisa melihat pemandangan Gunung Batur dan Danau Batur yang ekstotis. Dari puncak ini juga kita bisa melihat Gunung Agung yang terhalang oleh rimbunannya pepohonan dan juga Gunung Rinjani yang jauh di seberang Pulau Lombok.",Aktif,Pemula,Bangli
3,Gunung Agung,3142,Bali,Bali dan  Nusa Tenggara,"Gunung Agung adalah gunung tertinggi di pulau Bali dengan ketinggian 3.142 mdpl. Gunung ini terletak di kecamatan Rendang, Kabupaten Karangasem, Bali, Indonesia. Pura Besakih, yang merupakan salah satu Pura terpenting di Bali, terletak di lereng gunung ini. Gunung Agung adalah gunung berapi tipe stratovulkan, gunung ini memiliki kawah yang sangat besar dan sangat dalam yang kadang-kadang mengeluarkan asap dan uap air. Dari Pura Besakih gunung ini tampak dengan kerucut runcing sempurna, tetapi sebenarnya puncak gunung ini memanjang dan berakhir pada kawah yang melingkar dan lebar. Dari puncak gunung Agung kita dapat melihat puncak Gunung Rinjani yang berada di pulau Lombok di sebelah timur, meskipun kedua gunung tertutup awan karena kedua puncak gunung tersebut berada di atas awan, kepulauan Nusa Penida di sebelah selatan beserta pantai-pantainya, termasuk pantai Sanur serta gunung dan danau Batur di sebelah barat laut.",Aktif,Mahir,Karangasem
4,Gunung Batur,1717,Bali,Bali dan  Nusa Tenggara,"Gunung Batur merupakan sebuah gunung berapi aktif di Kecamatan Kintamani, Kabupaten Bangli, Bali, Indonesia. Sisi tenggara dari kaldera yang berukuran 10×13 km ini sebagian besar berisi danau kaldera. Baik kaldera yang lebih besar, dan kaldera yang lebih kecil 7,5 km dibentuk oleh runtuhnya ruang magma gunung , keruntuhan lebih besar pertama terjadi sekitar 29.300 tahun yang lalu, dan kaldera bagian dalam runtuh kedua kalinya sekitar 20.150 tahun yang lalu. Perkiraan lain dari tanggal pembentukan kaldera bagian dalam, terbentuk selama letusan ignimbrit Bali, sekitar 23.670 dan 28.500 tahun yang lalu.Letusan pertama yang terdokumentasi adalah pada tahun 1804 dan yang terbaru adalah pada tahun 2000",Aktif,Pemula,Bangli
5,Gunung Batukaru,2276,Bali,Bali dan  Nusa Tenggara,"Gunung Batukaru adalah gunung tertinggi kedua di pulau Bali setelah Gunung Agung dengan ketinggian 2.276 meter di atas permukaan laut. Gunung Batukaru merupakan gunung berapi yang tidak aktif, terletak di Kecamatan Penebel, Kabupaten Tabanan, Bali, Indonesia. Puncak-puncak gunung yang berada di Bali, hampir semua disakralkan dan menjadi tujuan persembahyangan umat Hindu, termasuk juga di puncak Gunung Batukaru, pada puncak gunung Batukaru terdapat sebuah pura bernama Pura Pucak Kedaton. Sedangkan di lereng selatan Gunung Batukaru terdapat Pura Luhur Batukaru yang sudah ada sejak abad ke-11 Masehi",Tidak Aktif,Pemula,Tabanan
6,Gunung Merbuk,1386,Bali,Bali dan  Nusa Tenggara,"Gunung Merbuk adalah gunung berapi di Bali, Indonesia yang memiliki tinggi 1,386 meter. Gunung merbuk ada di kabupaten jembrana berdekatan dengan gunung mesehe",Aktif,Mahir,Jembrana
7,Gunung Catur,2096,Bali,Bali dan  Nusa Tenggara,"Gunung Catur merupakan gunung tertinggi keempat yang ada di Bali. Gunung ini merupakan gunung yang sudah tidak lagi aktif, lokasinya berada di kawasan kaldera Bedugul. Karena lokasinya tersebut, Anda dapat menyaksikan keindahan Danau Beratan secara langsung dari puncak Gunung Catur. Gunung Catur secara administratif menjadi bagian dari Desa Pelaga, Kecamatan Pelaga. Puncak yang ada di gunung ini memang dikenal dengan nama Pucak Mangu atau Puncak Mangu. Di sini, berdiri sebuah pura yang masih tetap dimanfaatkan sebagai lokasi beribadah umat Hindu Bali. Oleh karena itu, selama melakukan pendakian ke sini, Anda bakal cukup banyak bertemu dengan masyarakat lokal.",Tidak Aktif,Pemula,Pelaga
8,Gunung Sangyang,2087,Bali,Bali dan  Nusa Tenggara,"Gunung Sanghyang juga disebut Sengjang atau Sengayang adalah sebuah stratovolcano tidak aktif di daerah vulkanik Bedugul. Gunung ini terletak di Kabupaten Tabanan dan menjadi keenam tertinggi di Bali. Gunung Sanghyang terletak di antara Gunung Batukaru di selatan dan Gunung Lesung di utara. Di timurnya ada Gunung Pohen yang berbatasan langsung dengan Kebun Raya Bali. Karena diapit tiga gunung, tak heran posisi Gunung Sanghyang relatif jauh dari hiruk pikuk pariwisata umumnya. Puncak gunung ini kembar sehingga kerap disebut Gunung Puncak Kembar. Tingginya tidak sampai setengah Gunung Batukaru, tetapi pemandangannya sangat eksotis.",Tidak Aktif,Pemula,Tabanan
9,Gunung Pohen,2063,Bali,Bali dan  Nusa Tenggara,"Gunung Pohen adalah salah satu gunung yang ada di Kabupaten Tabanan, Bali, Indonesia. Luas kawasan Gunung Pohen yaitu 388, 2 hektare. Kawasan Gunung Pohen ditetapkan sebagai bagian dari Cagar Alam Batukahu oleh Direktur Jenderal Kehutanan Indonesia. Surat keputusan penetapannya diterbitkan pada tanggal 3 Desember 1979. Gunung Pohen memiliki kawasan hutan yang ditumbuhi oleh beragam jenis tumbuhan mulai dari pohon hingga perdu. Gunung Pohen merupakan salah satu gunung yang menjadi bagian dan berada dalam pengelolaan Cagar Alam Batukahu.",Tidak Aktif,Pemula,Tabanan
10,Gunung Tapak,1909,Bali,Bali dan  Nusa Tenggara,"Gunung berapi satu ini terletak di belakang Kebun Raya Eka Karya Bedugul, sementara bagian utara lerengnya bersentuhan dengan tepi selatan danau Buyan. Gunung ini memiliki 3 kawah. Lava yang keluar dari kawah utanya mengalir ke arah utara dan menjadi pemisah antara danau Buyan-Tamblingan. Jalur pendakian menuju Gunung Tapak dimulai dari Desa Pancasari yang ada dikawasan Danau Buyan.",Aktif,Mahir,Tabanan
